deaths,experience,winPercent,playPercent,overallPosition,totalDamageDealtToChampions,kills,minionsKilled,neutralMinionsKilledTeamJungle,totalDamageTaken,largestKillingSpree,totalHeal,banRate,role,neutralMinionsKilledEnemyJungle,assists,key,title,overallPositionChange,goldEarned
5.99,35.78,46.7,0.48,55,21457,4.46,169.6,3.71,29846,2.02,12963,0,Top,1.84,7.13,Yorick,Yorick,-1,11635
6.58,80.79,47.08,0.34,54,20967,5.21,186.7,5.97,18596,2.46,9183,0,Top,3.27,5.48,Mordekaiser,Mordekaiser,2,12055
6.08,49.44,48.56,0.23,50,21419,5.85,178.1,3.86,19368,2.76,1633,0,Top,1.48,6.2,Urgot,Urgot,5,11944
5.89,8.46,41.72,0.14,57,16460,3.83,163.6,4.36,31044,1.8,9159,0,Top,2.42,7.63,Nunu,Nunu,0,11235
5.53,63.04,47.71,0.68,38,18349,5.08,190.6,7.49,31118,2.57,14667,0,Top,4.59,5.86,Aatrox,Aatrox,1,12309
6.53,80.44,46.25,0.17,47,22662,5.91,189.8,6.77,21174,2.68,4590,0,Top,2.15,5.81,Cassiopeia,Cassiopeia,4,12366
5.08,34.04,51.56,0.25,21,20626,4.26,205.9,2.96,27287,2.19,7543,0,Top,1.19,9.61,Galio,Galio,11,12289
7.22,51.93,46.75,0.12,32,28945,6.4,209.7,9.1,22687,2.44,2074,0,Top,2,8.28,Karthus,Karthus,4,13266
5.76,137.66,49.68,0.79,27,24448,3.83,206.5,2.8,19480,1.73,1209,0,Top,1.39,6.06,Heimerdinger,Heimerdinger,19,12235
6.2,59.55,46.21,1.07,34,23648,6.55,188.3,6.01,21363,3.06,1709,0,Top,2.38,6.69,Jayce,Jayce,7,12548
6.05,71.73,46.62,0.56,42,23572,5.53,158,4.31,29257,2.59,11152,0,Top,1.51,6.71,Swain,Swain,3,11547
6.09,114.54,51.71,1.52,3,22180,3.88,224.2,1.59,34487,1.79,3050,0,Top,2.01,7.55,Singed,Singed,16,12536
6.41,98.34,49.73,2.04,18,28027,5.98,192.1,4.04,21344,2.65,2614,0,Top,2.84,5.89,Teemo,Teemo,5,12746
5.3,52.35,53.3,1.65,7,19445,4.47,191.5,2.29,32237,2.15,14278,0,Top,1.63,8.99,Sion,Sion,10,12089
5.59,31.57,45.09,0.28,56,15506,4.65,159.2,4.87,35365,2.26,13964,0,Top,1.96,7.72,Warwick,Warwick,-3,11454
5.66,29.84,47.59,1.56,45,18058,3.98,178.4,3.04,32008,1.89,7875,0,Top,1.22,9.16,Maokai,Maokai,4,11512
6.27,28.84,47.17,1.39,49,22578,5.65,186.2,5.47,23174,2.63,1427,0,Top,2.38,6.14,Ryze,Ryze,1,12147
5.85,103.31,51.55,3.16,6,17947,5.5,217.3,8.33,35596,2.54,8548,0,Top,7.45,4.29,Tryndamere,Tryndamere,15,13315
6.52,142.37,48.53,0.75,37,19850,7.79,174.1,10.36,26389,3.52,4785,0,Top,5.11,5.53,Rengar,Rengar,10,12821
5.59,55.59,47,2.17,41,21486,5.13,177.2,2.53,19386,2.5,2028,0,Top,1.16,6.66,Kennen,Kennen,3,11720
5.98,50.36,42.38,0.53,52,17908,5.76,174.4,5.13,31942,2.77,6588,0,Top,2.15,7.03,Hecarim,Hecarim,-4,11921
6.06,54.64,49.34,1.23,30,18567,6.33,178.6,5.15,26803,3.01,2378,0,Top,2.4,9.07,JarvanIV,Jarvan IV,8,12391
5.76,51.23,54.01,2,12,19626,5.42,208.5,7.76,23719,2.64,8144,0,Top,3.65,6.22,Kayle,Kayle,12,12723
6.56,74.18,42.28,1.26,53,23028,5.45,157.4,3.52,22970,2.49,1908,0,Top,1.34,7.43,Rumble,Rumble,-1,11455
6.45,51.28,45.99,3.24,33,23920,5.01,199.6,5.13,30986,2.24,21865,0,Top,2.69,6.47,Vladimir,Vladimir,-7,12300
6.44,17.07,47.49,2.45,40,24196,4.95,193.8,2.59,32796,2.26,6342,0,Top,1.46,5.93,Illaoi,Illaoi,-3,12129
6.27,26.65,45.31,3.21,51,19617,5.71,183.8,4.36,30273,2.59,4164,0,Top,2.54,5.8,Olaf,Olaf,-17,12087
5.12,35.15,51.79,5.57,1,20450,6.51,189.9,3.1,32066,3.35,2220,0,Top,2.3,5.79,Garen,Garen,1,12542
4.55,69.95,49.64,0.73,28,19508,4.87,172.1,4.94,31343,2.66,23897,0,Top,2.4,8.84,Zac,Zac,7,11765
4.98,11.84,50.25,4.59,11,21697,4.69,192.7,3.25,36764,2.48,11411,0,Top,2.29,7.39,DrMundo,Dr. Mundo,-7,12107
5.84,44.82,47.45,3.9,35,20880,5,177.2,3.44,28288,2.46,2500,0,Top,1.89,7.59,Gnar,Gnar,-6,11869
4.96,15.4,46.89,2.31,44,18652,4.7,176.8,2.67,34642,2.44,8142,0,Top,1.68,7.71,TahmKench,Tahm Kench,-13,11773
5.42,34.68,48.88,4.79,4,23249,5.67,216.7,5.47,25686,2.82,6215,0,Top,2.14,7.6,Gangplank,Gangplank,-3,13908
6.07,45.33,49.7,4.05,2,19994,6.83,185.2,5.11,31884,3.27,3900,0,Top,2.87,6.56,Akali,Akali,40,12465
4.76,25.58,51.82,3.95,22,17328,4.8,185.4,3.39,36509,2.52,12292,0,Top,2.11,7.39,Trundle,Trundle,-15,11896
5.64,21.78,46.95,2.58,43,19175,4.32,203.4,3.98,22187,2.06,2881,0,Top,1.51,7.78,Lissandra,Lissandra,-13,12092
5.85,44.71,47.08,5.63,25,18536,5.34,197.4,4.76,34074,2.55,6444,0,Top,3.03,6.38,Renekton,Renekton,-5,12301
5.19,39.51,47.42,2.73,26,18737,5.52,197,5.86,31909,2.89,7995,0,Top,2.72,6.19,Chogath,Cho'Gath,-10,12479
5.34,17.98,54.57,3.59,24,19451,4.26,185.5,2.95,28875,2.14,3378,0,Top,1.56,9.02,Rammus,Rammus,4,11990
5.27,49.33,51.67,7.37,5,18997,4.92,201.6,4.4,34479,2.53,1851,0,Top,2.15,5.87,Nasus,Nasus,-2,12394
6.34,138.72,47.57,6.46,36,17556,6.66,192,7.31,23064,3.06,2133,0,Top,4.27,5.05,Riven,Riven,-11,12602
5.89,86.02,49.1,5.31,17,18664,6.59,188.1,3.13,29899,3.15,8176,0,Top,1.97,5.66,Irelia,Irelia,-7,12276
5.29,48.52,52.08,2.37,16,18777,6.17,169.4,3.58,34989,3.15,3245,0,Top,2.54,7.07,Volibear,Volibear,11,12075
5.76,102.11,51.15,3.68,8,20094,6.83,176.4,4.82,24657,3.27,2306,0,Top,2.2,6.54,MonkeyKing,Wukong,4,12337
4.51,33.44,50.86,5.68,29,15908,4.04,178.5,2.75,27096,2.17,3227,0,Top,1.37,10.51,Shen,Shen,-11,11697
6.68,30.2,52.55,4.93,15,23332,7.54,185.9,4.76,21978,3.43,1984,0,Top,2.78,6.6,Quinn,Quinn,-9,12725
6.67,36.4,47.28,4.72,46,17819,5.98,185.4,6.71,26552,2.65,3206,0,Top,3.79,4.51,Jax,Jax,-6,12406
5.86,26.23,49.62,8.82,23,19626,6.27,186.8,4.35,31163,3.02,7945,0,Top,2.3,5.58,Fiora,Fiora,-18,12284
6,51.62,47.55,1.35,39,19611,6.01,181.7,4.07,27166,2.85,4858,0,Top,1.88,6.36,Ekko,Ekko,4,12203
6.27,39.6,50.31,9.89,19,19448,6.67,183.3,3.18,33356,3.15,5482,0,Top,1.82,5.58,Darius,Darius,-6,12188
6.27,49.33,53.99,7.2,10,22717,8.38,158.5,3.59,22861,3.84,1845,0,Top,1.78,6.43,Pantheon,Pantheon,-1,12301
7.03,106.61,49.47,3.96,13,19815,6.06,217.6,7.59,23340,2.64,1396,0,Top,4.76,5.96,Yasuo,Yasuo,9,13058
5.24,17.29,51.87,7.37,20,20355,5.46,175.7,3.44,26863,2.8,2930,0,Top,2.02,7.47,Poppy,Poppy,-6,12006
4.73,30.68,48.71,2.31,48,16042,3.65,180.1,2.9,19650,1.89,1907,0,Top,1.17,9.21,Lulu,Lulu,-15,11586
5.92,26.94,50.87,4.13,14,23033,6.37,209.6,7.8,23347,3.12,3053,0,Top,3.42,5.85,Graves,Graves,-6,12954
4.58,20.73,51.76,10.07,31,18348,4.67,175.8,2.9,23001,2.5,2650,0,Top,1.28,8.96,Malphite,Malphite,-20,11792
4.86,24.54,55.35,13.3,9,18608,4.22,192.7,2.49,25006,2.25,2755,0,Top,1.41,9.4,Nautilus,Nautilus,6,11901
5.22,51.96,51.26,0.35,15,16154,5.93,55.2,69.83,35145,3.06,22927,0,Jungle,12.03,7.09,Aatrox,Aatrox,18,12342
4.5,55.79,53.25,1.29,16,12293,4.61,40.9,66.18,28455,2.48,7137,0,Jungle,11.05,10.23,Skarner,Skarner,12,11718
5.56,41.31,44.36,1.2,38,15753,6.21,49.4,66.27,36118,3.1,11774,0,Jungle,8.5,8.86,Hecarim,Hecarim,-1,12056
4.58,35.33,50.62,0.83,33,12586,3.88,45.8,57.87,36711,2.08,13343,0,Jungle,12.55,10.93,Nunu,Nunu,3,11445
4.63,34.86,49.66,2.25,31,14641,4.51,47.1,64.39,35518,2.38,7374,0,Jungle,7.69,11.05,Sejuani,Sejuani,-8,11595
5.4,66.33,48.94,0.28,30,17259,4.84,69.6,54.07,37644,2.26,19460,0,Jungle,6.36,10.83,Sion,Sion,12,11871
5.39,47.32,51,2.1,14,14488,6.12,37.6,67.25,37891,2.99,19706,0,Jungle,9.52,8.44,Warwick,Warwick,4,11987
5.59,45.72,47.29,0.56,42,15408,4.43,48.8,56.24,37336,2.16,11873,0,Jungle,6.87,11.55,Maokai,Maokai,1,11313
5.59,138.99,50.13,1.72,22,17256,5.5,43.9,68.33,29425,2.78,16879,0,Jungle,7.42,9.27,FiddleSticks,Fiddlesticks,-5,11832
6.39,125.75,45.23,0.32,44,23226,6.37,65.6,61.93,22942,2.85,4933,0,Jungle,10.07,6.92,Teemo,Teemo,4,12479
4.59,55.21,46.74,3.11,27,13427,4.76,43,64.14,36458,2.56,14056,0,Jungle,11.53,9.42,RekSai,Rek'Sai,-3,11527
5.52,37.68,51.18,3.1,8,17025,7.43,54.9,73.34,31455,3.61,9629,0,Jungle,10.19,7.5,Nocturne,Nocturne,8,12825
5.87,37.84,45.04,1.89,43,14057,5.56,44.8,59.32,29884,2.64,6444,0,Jungle,6.97,11.45,JarvanIV,Jarvan IV,3,11623
5.67,91.07,48.64,3.46,12,19033,7.43,42.8,60.89,27325,3.63,6181,0,Jungle,9.19,8.99,Evelynn,Evelynn,2,12049
