title,totalDamageTaken,minionsKilled,overallPositionChange,assists,banRate,winPercent,neutralMinionsKilledTeamJungle,role,experience,totalDamageDealtToChampions,neutralMinionsKilledEnemyJungle,goldEarned,kills,deaths,largestKillingSpree,playPercent,key,overallPosition,totalHeal
Yorick,36615,176.1,2,7.46,0.1,48.85,4.04,Top,23.48,27686,2.13,12022,4.87,6.32,2.22,0.44,Yorick,54,14413
Urgot,20774,183.4,1,6.68,0.13,51.67,4.11,Top,94.03,22741,1.51,12320,6.29,6.23,2.83,0.33,Urgot,52,2016
Mordekaiser,19768,185.4,-3,6.13,0.11,48.77,5.83,Top,94.83,23421,3.41,12470,6.08,6.76,2.81,0.5,Mordekaiser,57,10768
Nunu,33754,155.1,0,8.07,0.11,43.42,5.83,Top,29.27,16586,2.8,11302,4.03,6.47,1.86,0.12,Nunu,62,10030
Aatrox,32508,191.3,-1,6.48,0.19,46.87,7.49,Top,113.04,19950,4.77,12708,5.76,5.97,2.83,0.66,Aatrox,53,15433
Heimerdinger,20431,202.9,-1,6.32,0.1,46.83,2.6,Top,236.19,25023,1.33,12102,4.04,6.12,1.79,0.57,Heimerdinger,56,1470
Karthus,25950,207.4,-30,8.85,0.1,46.42,9.02,Top,109,32360,2.34,13645,7.13,7.43,2.66,0.22,Karthus,48,5554
Galio,30590,196.6,-2,10.21,0.17,51.75,2.78,Top,42.16,21544,1.3,12165,4.3,5.12,2.17,0.34,Galio,28,9538
Singed,37884,216.7,-1,8.52,0.1,51.16,1.74,Top,131.07,23775,2.07,12681,4.3,6.54,1.95,1.49,Singed,21,5158
Cassiopeia,22917,197.3,7,6.72,0.31,53.69,6.89,Top,80.43,24164,2.85,12680,6.3,6.13,2.93,0.33,Cassiopeia,31,6749
Warwick,38080,162.2,1,8.4,0.11,45.95,4.69,Top,29.2,17312,1.87,11879,5.41,6.06,2.59,0.28,Warwick,59,15069
Quinn,22231,184.6,-3,6.92,0.31,54.19,5.16,Top,65.19,24090,3.24,13005,8.24,7.01,3.6,1.34,Quinn,27,2063
Tahm Kench,37093,170.4,1,8.39,1.63,45.78,3.03,Top,48.23,19489,1.73,11862,5.11,5.69,2.49,0.74,TahmKench,49,8560
Jayce,23270,193.4,0,7.17,0.07,49.68,6.37,Top,76.87,25469,2.89,13029,7.29,6.61,3.24,1.35,Jayce,42,2126
Dr. Mundo,38368,192.4,-8,7.71,0.38,47.6,3.43,Top,30.14,21901,2.34,12133,4.67,5.35,2.37,2.25,DrMundo,29,11899
Xin Zhao,30810,159.5,0,5.6,0.33,45.01,5.88,Top,62.74,19680,2.94,11984,6.35,7.47,2.67,0.41,XinZhao,61,7520
Tryndamere,36980,217.8,5,4.83,0.23,50.95,8.76,Top,109.88,19312,7.54,13624,6.04,6.18,2.7,2.29,Tryndamere,24,8629
Rumble,24210,187,-3,8.38,0.11,50.93,4.68,Top,101.88,25755,2.19,12549,6.38,6.63,2.93,1.87,Rumble,35,2261
Sion,35179,193.2,-2,10.03,0.08,52.65,2.57,Top,55.36,21639,1.72,12532,5.05,5.87,2.3,2.04,Sion,16,15928
Cho'Gath,35578,195.6,-2,6.84,0.37,47.77,5.94,Top,57.66,20316,2.77,12788,6.08,5.44,3.18,1.7,Chogath,32,10257
Rammus,29925,173.3,-6,9.34,0.75,46.81,3.38,Top,51.88,19414,1.57,11756,4.21,6.03,1.94,0.63,Rammus,55,3413
Jarvan IV,27803,181.4,-11,9.86,0.07,50.74,5.47,Top,64.45,20244,2.69,12796,6.8,6.51,3.12,1.14,JarvanIV,44,2619
Shyvana,32680,192.5,-1,6.62,0.23,37.97,7.75,Top,27.26,18415,4.42,12103,3.97,5.74,1.84,0.37,Shyvana,58,3471
Olaf,31916,187,-2,6.4,0.28,50.04,4.16,Top,65.03,21661,2.94,12582,6.64,6.34,3.07,2.7,Olaf,33,4567
Akali,29478,173.6,-7,5.94,0.69,50.3,5.43,Top,109.42,21941,3.05,12819,8.61,6.97,3.77,1.35,Akali,41,5031
Malzahar,18218,187.6,25,7.57,36.31,53.73,4.54,Top,38.93,23713,1.94,12298,5.27,5.47,2.6,0.45,Malzahar,14,2609
Poppy,28441,171.8,-3,7.79,0.62,47.09,3.18,Top,34.47,19586,1.66,11828,4.99,5.67,2.43,2.89,Poppy,51,3096
Nasus,37256,200.2,-7,6.42,0.56,48.84,4.42,Top,60.47,20063,2.14,12541,5.07,5.83,2.47,3.82,Nasus,23,1956
Kennen,21204,185.2,1,7.37,0.42,50.45,2.66,Top,40.26,23785,1.27,12283,6,5.95,2.84,2.25,Kennen,34,2345
Gnar,30391,180.6,1,8.09,0.21,47.72,3.57,Top,61.23,22112,2,12136,5.39,6.2,2.56,4.08,Gnar,46,2775
Taliyah,24777,195,21,8.69,1.3,48.6,4.63,Top,4.59,26925,1.86,12722,6.14,6.99,2.82,0.56,Taliyah,37,3778
Garen,34035,190.8,-2,6.26,1.41,49.57,3.24,Top,48.18,21235,2.3,12754,6.72,5.55,3.32,4.08,Garen,8,2390
Kayle,25042,209.6,-4,6.48,0.6,53.55,7.98,Top,76.09,20609,3.82,12968,5.78,6.17,2.71,2.13,Kayle,17,8390
