minionsKilled,role,overallPositionChange,assists,deaths,key,overallPosition,title,totalDamageDealtToChampions,winPercent,kills,neutralMinionsKilledTeamJungle,experience,banRate,largestKillingSpree,goldEarned,totalDamageTaken,playPercent,neutralMinionsKilledEnemyJungle,totalHeal
173.9,Top,2,7.61,6.56,Yorick,48,Yorick,27743,48.19,5.05,4.45,26.77,0.17,2.21,12175,36941,0.49,2.21,14366
181.4,Top,-11,6.46,6.13,Urgot,53,Urgot,22516,48.73,6.24,4.02,87.32,0.19,2.89,12190,20018,0.36,1.5,1861
186.2,Top,-3,6.17,5.96,Aatrox,50,Aatrox,18733,47.85,5.64,7.63,159.97,0.35,2.81,12545,30836,0.57,4.55,14247
198.1,Top,8,10.62,5.39,Galio,16,Galio,22021,53.51,4.8,3.21,59.62,0.09,2.44,12563,31765,0.25,1.41,9639
190.4,Top,0,7.85,5.53,DrMundo,41,Dr. Mundo,21814,47.66,4.88,3.43,35.78,0.13,2.45,12269,38417,1.4,2.21,10944
223.8,Top,-1,8,6.82,Singed,27,Singed,22546,50.97,4.12,1.5,132.11,0.12,1.86,12723,36893,2.09,2.05,4021
173.3,Top,-4,9.19,6.14,Rammus,55,Rammus,19567,47.55,4.5,3.18,71.18,0.55,2.05,11857,29252,0.35,1.45,2987
201.3,Top,13,9.14,7.25,Karthus,19,Karthus,30827,53.68,7.21,8.97,243.2,0.06,2.66,13455,23999,0.22,2.19,4327
208.2,Top,-4,6.35,6.38,Heimerdinger,52,Heimerdinger,25783,46.1,4.41,2.49,261.26,0.13,1.91,12537,21035,0.68,1.48,1449
185.8,Top,5,5.97,6.91,Mordekaiser,49,Mordekaiser,22925,51.06,6.12,5.89,135.66,0.21,2.79,12532,20012,0.93,3.25,11089
172.3,Top,-4,10.03,5.84,Maokai,47,Maokai,18614,48.94,4.3,2.89,38.97,0.21,2.06,11678,33178,1.95,1.22,8875
198.6,Top,0,6.32,5.91,Nasus,33,Nasus,19448,49,5.15,4.49,78.55,0.46,2.52,12562,36215,3.42,2.15,1476
